Name,Description/Focus,Date launched,Registered users,Registration,"Global Alexa, Page ranking"
delicious,Social bookmarking allowing users to locate and save websites that match their own interests,September 2003,"8,822,921",Open,436
deviantART,Art community,7 August 2000,"22,000,000",Open to people 13 and older,131
Diaspora*,"Decentralized, privacy aware, general (open source)",November 2010,"370,000+",Open,"36,792"
didlr,Drawing service,,"204,515",Open,"2,869,116"
Disaboom,"People with disabilities (Amputee, cerebral palsy, MS, and other disabilities)",,,Open,"218,135"
Dol2day,"Politic community, Social network, Internet radio (German-speaking countries)",,"40,200",Open,"385,237"
DontStayIn,Clubbing (primarily UK),,,Open,"86,535"
Draugiem.lv,"General (primarily LV, LT, HU)",,"2,600,466",Invitation only,"2,698"
douban,"Chinese Web 2.0 website providing user review and recommendation services for movies, books, and music.",2005,"46,850,000",Open,106
DXY.cn,"Chinese online community for physicians, health care professionals, pharmacies and facilities",2000,"2,000,000",Open,"8,367"
Elftown,Community and wiki around Fantasy and sci-fi.,,"185,000","Open, approval needed","43,277"
Elixio,Business executives jet set and global elite.,July 2007,"80,000",Invite-only,"545,268"
"English, baby!",Students and teachers of English as a second language,2000,"1,600,000",Open,"29,585"
Epernicus,For research scientists,,,Open,"798,086"
Eons.com,For baby boomers and mature internet users age 40 and beyond.,,,Open to people age 40 years and older,"73,767"
eToro,"Social Investing, Finance",May 2007,"2,500,000",Open,"1,591"
Experience Project,Life experiences,,,Open,"2,658"
Exploroo,Travel Social Networking.,,,Open,"163,545"
Facebook,"General: Photos, Videos, Blogs, Apps.",February 2004,"1,000,000,000",Open to people 13 and older,2
Faceparty,General. Popular UK.,,"200,000",Invitation only to people 18 and older,"163,639"
Faces.com,"Adult Social Network, Mainly UK & USA",2011,,Open to people 18 and older worldwide,"149,839"
Fetlife,People who are into BDSM,January 2008,"2,701,715","Open to people ""of legal age to see adult content""","4,131"
FilmAffinity,Movies and TV Series,2002,"250,000",Open,"3,151"
Filmow,Movies and TV Series,2009,,Open,"44,630"
FledgeWing,Entrepreneural community targeted towards worldwide university students,,,Open to university students,"696,513"
Flixster,Movies,2007,"63,000,000",Open to people 13 and older,"4,012"
Flickr,"Photo sharing, commenting, photography related networking, worldwide",February 2004,"32,000,000",Open to people 13 and older (Yahoo! Login),48
Focus.com,"Business to Business, worldwide",2005,"850,000",Open to people 13 and older,"12,114"
Formspring,social Q&A website,November 2009,"290,000,000",Registration post responses and questions,"4,325"
Fotki,"Photo sharing, video hosting, photo contests, journals, forums, flexible privacy protection, friend's feed, audio comments and unlimited custom design integration.",October 1998,"1,632,565",Open,"8,011"
Fotolog,Photoblogging. Popular in South America and Spain,2002,"20,000,000",Open,"3,168"
Foursquare,Location based mobile social network,2009,"20,000,000",Open,817
Friendica,"Distributed, federated, privacy aware, open source, general",,,Open,"354,946"
Friends Reunited,"UK based. School, college, work, sport and streets",July 2000,"19,000,000",Open to people 13 and older,"29,239"
Friendster,General. Popular in Southeast Asia. No longer popular in the western world,2002,"90,000,000",Open to people 16 and older.,"12,167"
Frühstückstreff,General,July 2001,"14,800",Open,"1,827,621"
Fuelmyblog,Blogging community,July 2007,"50,000",Open,"85,547"
FullCircle,Geosocial networking and location-based services portal for mobile devices,April 2009,,Open,"1,167,425"
Gaia Online,"Anime and games. Popular in USA, Canada and Europe. Moderately popular around Asia.",,"23,523,663",Open to people 13 and older,"6,277"
GamerDNA,Computer and video games,21 September 2006,"310,000",Open,"59,730"
Gapyear.com,Travel social network,July 1998,,Open,"74,763"
Gather.com,"Article, picture, and video sharing, as well as group discussions",,"465,000",Open,"3,062"
Gays.com,"Social network for LGBT community, Guide for LGBT bars, restaurants, clubs, shopping",16 May 2008,"100,000","Open, Global","224,302"
Geni.com,"Families, genealogy",16 January 2007,"15,000,000",Open,"5,958"
GetGlue,Social network for entertainment,28 October 2008,"2,000,000",Open,"3,735"
Gogoyoko,Fair play in Music - Social networking site for musicians and music lovers,,,Invite only while in beta,"145,552"
Goodreads,"Library cataloging, book lovers",December 2006,"13,000,000",Open,327
Goodwizz,"Social network with matchmaking and personality games to find new contacts. Global, based in France.",October 2010,"110,000",Open,"597,008"
Google+,General,28 June 2011,"500,000,000",Open to people 13 and older,NA
GovLoop,For people in and around government,,,,"138,576"
Grono.net,Poland,,"2,000,000",Open,"395,036"
Habbo,General for teens. Over 31 communities worldwide. Chat room and user profiles.,August 2000,"268,000,000",Open to people 13 and older,"15,255"
hi5,"General. Popular in Nepal, Mongolia, Thailand, Romania, Jamaica, Central Africa, Portugal and Latin America. Not very popular in the USA.",2003,"80,000,000",Open to people 13 and older.,902
Hospitality Club,Hospitality,,"328,629",Open,"99,562"
Hotlist,"Geo-Social Aggregator rooted in the concept of knowing where users' friends are, were, and will be.",,"80,000",Open,"155,811"
HR.com,Social networking site for Human Resources professionals,1999,"194,000",Open,"79,591"
Hub Culture,Global influencers focused on worth creation,November 2002,"20,000",Invite-only,"152,756"
Hyves,"General, mostly popular in the Netherlands.",September 2004,"10,097,000",Open,"2,243"
Ibibo,Talent based social networking site that allows to promote one's self and also discover new talent. Most popular in India.,,"3,500,000",Open,"1,143"
Identi.ca,Twitter-like service popular with hackers and software freedom advocates.,,"395,695",Open,"7,290"
Indaba Music,"Online collaboration for musicians, remix contests, and networking.",,"350,000","Open, Global","45,039"
Instagram,A photo and video sharing site,October 2010,"150,000,000",Open to anyone 13 or older,41
IRC-Galleria,Finland,,"505,000",Open to Finnish speaking people 12 and older,"36,982"
italki.com,Language learning social network. 100+ languages.,,"500,000","Open, Global","18,956"
Itsmy,"Mobile community worldwide, blogging, friends, personal TV-shows",,"2,500,000",,"770,100"
iWiW,Hungary,14 April 2002,"4,000,000",Invite-only,"3,831"
Jaiku,General. Microblogging. Owned by Google,February 2006,,Open to people 13 and older,"62,910"
Jiepang,Location based mobile social network. In Chinese language,2010,"3,000,000",Open,"14,790"
Kaixin001,General. In Simplified Chinese; caters for mainland China users,,,Open to the General Public,284
Kiwibox,General.,1999,"2,400,000",Open to people 13 and older,"104,563"
Lafango,Talent-Focused media sharing site,,,"Open, Global","161,778"
LaiBhaari,Marathi social networking,2010,"250,000",Open,"952,782"
Last.fm,Music,2002,"30,000,000",Open,772
LibraryThing,Book lovers,29 August 2005,"1,300,000",Open to people 13 and older,"10,800"
Lifeknot,"Shared interests, hobbies",,,Open to people 18 and older,"1,071,686"
LinkedIn,Business and professional networking,May 2003,"200,000,000",Open to people 18 and older,12
LinkExpats,Social networking website for expatriates. 100+ countries.,,,"Open, Global","800,451"
Listography,Lists. Autobiography,,,Open,"92,525"
LiveJournal,Blogging. Popular in Russia and among the Russian-speaking diaspora abroad.,15 April 1999,"17,564,977",Open (OpenID),115
Livemocha,Online language learning,,"5,000,000",Open,"4,100"
Makeoutclub,General,9 August 1999,,Open,"756,300"
MEETin,General,,,Open,"318,979"
Meetup (website),General. Used to plan offline meetings for people interested in various activities,,,Open to people 18 and older,481
Meettheboss,"Business and Finance community, worldwide.",,,Open,"315,513"
MillatFacebook,"General, Created in Response to Facebook",May 2010,"461,200",Open,"236,663"
mixi,Japan,25 October 2000,"24,323,160",Open,232
MocoSpace,"mobile community, worldwide",2005,"3,000,000",Open to people 14 and older,"9,882"
MOG,Music,,,Open to people 14 and older,"13,955"
MouthShut.com,"Social Network, social media, consumer reviews",,,Open,"3,340"
Mubi,Auteur cinema,,"200,000",Open,"18,225"
MyHeritage,family-oriented social network service,,"30,000,000",Open,"3,756"
MyLife,"Locating friends and family, keeping in touch (formerly Reunion.com)",,"51,000,000",Open,"1,765"
My Opera,"Blogging, mobile blogging, photo sharing, connecting with friends, Opera Link and Opera Unite. Global",,"7,300,000",Open,NA
Myspace,General,August 2003,"30,000,000+",Open to ages 13 and older.,161
Nasza-klasa.pl,"School, college and friends. Popular in Poland",,"11,000,000",Open,"75,145"
Netlog,"General. Popular in Europe, Turkey, the Arab World and Canada's Québec province. Formerly known as Facebox and Redbox.",,"95,000,000",Open to people 13 and older,545
Nexopia,Canada,,"1,400,000",Open to people 13 and older,"25,241"
NGO Post,"Non-Profit news sharing and networking, mainly in India",,"15,000",Open,"42,076"
Ning,Users create their own social websites and social networks,2005 (Networks 2007),,Open to people 13 and older,378
Odnoklassniki,Connect with old classmates. Popular in Russia and former Soviet republics,,"45,000,000",Open,65
Open Diary,"First online blogging community, founded in 1998",1998,"5,000,000",Open to people 13 and older,"28,134"
Orkut,General. Owned by Google Inc. Popular in India and Brazil.,22 January 2004,"100,000,000","Open to people 18 and older, (Google login)",319
OUTeverywhere,Gay/LGBTQ Community,,,Open,"445,440"
PatientsLikeMe,"Online community for patients with life-changing illnesses to find other patients like them, share their data with others, and learn more about their condition to improve their outcome.",2006,"109,587",Open to people 13 years and up,"69,514"
Partyflock,Dutch virtual community for people interested in house music and other electronic dance music,10 November 2001,"321,125",Open to people 18 years and up,"16,828"
Pingsta,Collaborative platform for the world's Internetwork Experts,,,"Invite-only, only Internet Experts","2,533,640"
Pinterest,Online pinboard for organizing and sharing things you love,2011,,Open,38
Plaxo,Aggregator,,"50,000,000",Open,"5,310"
Playfire,Computer and video games,,,Open to people 13 and older,"38,259"
Playlist.com,"General, Music",,,Open to people over 13,"8,026"
Plurk,"Micro-blogging, RSS, updates. Very popular in Taiwan",,,Open,"1,991"
Poolwo,Social networking site from India,7 January 2014,"5,305",Open,"764,227"
Qapacity,A a business-oriented social networking site and a business directory,,,Closed,"20,640"
Quechup,"General, friendship, dating",2007,,Open to those over 16,"82,914"
Qzone,General. In Simplified Chinese; caters for mainland China users,,"480,000,000",Open to the general public,NA
Raptr,Video games,,,Open,"25,664"
Ravelry,Knitting and crochet,,"3,000,000",Open,"2,334"
Renren,Significant site in China. Was known as 校内 (Xiaonei) until August 2009.,,"160,000,000",Open,95
ReverbNation.com,Social network for musician and bands,,"500,000",Open to people 16 and older,"1,806"
Ryze,Business,,"500,000",Closed,"71,324"
ScienceStage,Science-oriented multimedia platform and network for scientists,,,Open,"61,668"
Sgrouples,"General, with focus on privacy rights",16 May 2012,,Open,"258,091"
ShareTheMusic,Music Community. Sharing and listening to music for free and legally,,,Open,"612,429"
Shelfari,Books,11 October 2006,,Open,"18,152"
Sina Weibo,Social microblogging site in Mainland China.,14 August 2009,"300,000,000",Open,28
Skoob,Collaborative social network for Brazilian readers,2009,"420,000",Open,"28,449"
Skyrock,Social Network in French-speaking world,,"22,000,000",Open,710
SocialVibe,Social Network for Charity,,"435,000",Open,"101,364"
Sonico.com,General. Popular in Latin America and Spanish and Portuguese speaking regions.,,"50,000,000",Open to people 13 and older,"2,676"
SoundCloud,Repository of original music pieces and networking.,,"10,000,000",Open,299
Spaces,Russian Social Network targeted to mobile phone users,,,Open,"9,953"
Stage 32,"US-based social network and educational site for creative professionals in film, television and theater",February 2012,"175,000",,"35,382"
Stickam,Live video streaming and chat.,,"9,000,000",Closed,"9,201"
StudiVZ,"University students, mostly in the German-speaking countries. School students and those out of education sign up via its partner sites schülerVZ and meinVZ.",,"17,000,000",Open,"7,080"
Students Circle Network,"A Social Network connecting students, teachers and institutions to course resources, study groups and learning spaces.",December 2010,,Open,"345,110"
StumbleUpon,Stumble through websites that match users' selected interests,,"20,000,000",Open,146
Tagged,General.,October 2004,"100,000,000",Open,288
Talkbiznow,Business networking,,,Open,"136,346"
Taltopia,Online artistic community,,,Open,"281,501"
Taringa!,General (primarily Argentina),,"11,000,000",Open to people 13 and older,214
TeachStreet,Education / Learning / Teaching - More than 400 subjects,,,Open,"422,704"
TermWiki,Learning / Languages / Translation - 1.2m terms in more than 1300 subjects,May 2010,,Open,"22,997"
The Sphere,A Private Online Social Luxury Network with Exclusive Personalized Services,December 2008,"1,300",Invite-only,"1,115,305"
TravBuddy.com,Travel,2005,"1,588,000",Open to people 18 and older,"21,523"
Travellerspoint,Travel,2002,"310,000",Open,"15,275"
tribe.net,General,,,Open,"8,081"
Trombi.com,French subsidiary of Classmates.com,,"4,400,000",,"16,227"
Tuenti,Spanish-based university and High School social network.,,"12,000,000",Open,"5,293"
Tumblr,Microblogging platform and Social Networking Website.,,,Open,32
Twitter,"General. Micro-blogging, RSS, updates",15 July 2006,"93,800,000",Open to all ages,8
Tylted,Mobile social game network,2007,"3,000,000",Open to people 14 and older,"737,508"
Vkontakte,"General, including music upload, listening and search. Popular in Russia and former Soviet republics.",September 2006,"123,612,100",Open,38
Vampirefreaks.com,Gothic and industrial subculture,1999,"1,931,049",Open to users 13 and over,"21,052"
Viadeo,"Global Social Networking and Campus Networking available in English, French, German, Spanish, Italian and Portuguese",,"35,000,000",Open,435
Virb,"Social network that focuses heavily on artists, including musicians and photographers",2007,,Open,"33,371"
Vox,Blogging,,,Open,"56,558"
Wattpad,For readers and authors to interact & e-book sharing,,,Open,"7,036"
WAYN,Travel and lifestyle,May 2003,"10,000,000",Open to people 18 and older,"1,367"
WeeWorld,Teenagers - 10 to 17,,"30,000,000",Open to ages 13 and older.,"18,317"
We Heart It,"Image-based social network focused on inspiration, expression and creativity",2008,"20,000,000",Open,899
Wellwer,"Community without borders, where sharing is everything.",September 2011,,Open to people 13 years and older,"370,755"
WeOurFamily,General with emphasis on privacy and security,,,"Open, subscription-based","3,359,241"
Wepolls.com,Social polling network,,,Open,"1,204,376"
Wer-kennt-wen,General,,,General,"2,147"
weRead,Books,June 2007,"4,000,000",Open,"305,720"
Wiser.org,Online community space for the social justice and environmental movement,April 2007,"71,600",Open to people 16 and older,"239,901"
Wooxie,Blogging and micro-blogging,,,Open,"111,538"
WriteAPrisoner.com,"Site networking inmates, friends, family",September 2000,"66,000",Open to people 18 years and older,"228,915"
Xanga,"Blogs and ""metro"" areas",Unknown,"27,000,000",Open,"3,943"
XING,"Business (primarily Europe (Germany, Austria, Switzerland))",,"11,100,000",Open,270
Xt3,"Catholic social networking, created for World Youth Day 2008",,,Open,"712,292"
Yammer,Social networking for office colleagues,2008,,Must have company email,"3,622"
"Yelp, Inc.",Local Business Review and Talk,,,Open,186
Zoo.gr,Greek Web Meeting point,2004,"890,000",Open,"34,577"
Zooppa,Online Community for Creative Talent (host of brand sponsored advertising contests),,"60,000",Open to people 14 and older,"36,373"
