Pronunciation,Japanese,Use
きょく kyoku,局,"Board game matches (chess, igo, shogi, mahjong); radio stations, television stations"
まい mai,枚,"Thin, flat objects, sheets of paper, photographs, plates, articles of clothing (see also: chaku)"
まき maki or かん kan,巻,"Rolls, scrolls, kan for volumes of book"
まく maku,幕,Theatrical acts
めい mei,名,"People (polite) (名 means ""name"")"
めん men,面,"Mirrors, boards for board games (chess, igo, shogi), stages of computer games, walls of a room, tennis courts"
もん mon,門,Cannons
もん mon,問,Questions
ねん nen,年,"Years, school years (grades); not years of age"
にち nichi,日,Days of the month (but see table of exceptions below)
にん nin,人,People (but see table of exceptions below)
にんまえ ninmae,人前,"Food portions (without exceptions, unlike nin above)"
おり ori,折,"Boxes made of folded paper (compare to hako above, which refers to boxes in general)"
ぺーじ pēji,"ページ, 頁",Pages
れい rei,例,"Cases, Examples"
れい rei,礼,Bows during worship at a shrine
り ri,り or 人,"People, used in the words 一人 (ひとり) and 二人 (ふたり)."
りん rin,輪,"Wheels, Flowers"
りょう ryō,両,Railway cars
さい sai,才 or 歳,Years of age
さお sao,棹,"Chests of drawers, flags"
さつ satsu,冊,Books
せき seki,席,"Seats, Rakugo shows, (drinking) parties"
せき seki,隻,"Ships, half of a pair (e.g., half of a folding screen), item carried in a bundle (fish, birds, arrows etc.)"
しな shina,品,"Parts of a meal, courses (see also: hin)"
しゃ sha,社,"used for businesses, i.e. 会社"
しき shiki,式,"Sets of things, such as documents or furniture"
しょう shō,勝,Wins (sports bouts)
しゅ shu,首,Tanka
しゅう shū,週,Weeks
しゅるい shurui or しゅ shu,種類 or 種,"Kinds, species"
そく soku,足,"Pairs of footwear, pairs of socks, stockings, tabi"
たば taba,束,"bundles (of banknotes), bunches (of flowers, vegetables), sheaves"
たい tai,体,"Images, statues, person's remains, dolls"
たわら tawara,俵,Bags of rice
てき teki,滴,Drops of liquid
てん ten,点,"Points, dots, pieces of a set"
とう tō,頭,"Large animals, cattle, elephants, whales, dolphins, butterflies (頭 means ""head"")"
とき toki,時,"Time periods, a sixth of either day or night (in the traditional, obsolete way of telling time). See also: jikan"
とおり tōri,通り,"Combinations, puzzle solutions"
つ tsu,つ,"Used as part of the indigenous Japanese numbers 一つ, 二つ, 三つ etc."
つう tsū,通,Letters
つぼ tsubo,坪,Commonly used unit of area equal to 3.3 square metres.
つうわ tsūwa,通話,Telephone calls (see also: hon)
"わ wa, ば ba, ぱ pa",羽,"Birds, rabbits* (see note); 羽 means ""feather"" or ""wing."""
わ wa,把,Bundles
わ wa,話,"Stories, episodes of TV series, etc."
や ya,夜,Nights (see also: ban)
ぜん zen,膳,Pairs of chopsticks; bowls of rice
